id,text,retweet_count,reply_count,like_count,topic,reception
1466131132324270081,"Germany 🇩🇪 @SZ headline: Sueddeutsche

This is known about the planned mandatory vaccination https://t.co/JvURZdh416",0,0,0
1466131128067186695,"Mayor Johnson urges Savannahians to remain calm, get vaccinated amid emerging COVID variant https://t.co/TXwDFXAdsO via @WSAV",0,0,0
1466131124405604366,"So after speaking with the nurse… didn’t get booster. As I have a fever and seeing doctor face to face on Friday it was best not to have vaccine side effects.

Guess I’m gonna have to rebook 😅.",0,0,0
1466131117090623492,"JFC, the earliest Moderna booster I could schedule at Kaiser is in January. (This is not an invitation for suggestions on where and how to get a booster shot.)",0,0,0
1466131115991777285,The hospital in town just reversed their mandatory vaccine policy...I think we should all come to terms that covid is here to stay,0,0,0
1466131115895361543,Hate to be that guy but… vaccine,0,0,0
1466131112481026052,Markets fall on Omicron fears as officials offer vaccine reassurance https://t.co/qEPGcq7Ro3,0,0,0
1466131110132387848,"#3mobHealth | Current vaccines appear to protect against Omicron - Israel 

https://t.co/7jAOPnwb7t #3mob",0,0,0
1466131109243142145,"I think the vaccine is definitely having an effect on peoples health. Footballers and fans dropping like flies weekly, this wasn’t happening before the 💉",0,0,0
1466131108970512390,Moderna loses patent battles and could face lawsuit over COVID vaccine https://t.co/N3zm62cliA,0,0,0
1466131106718261250,Children’s COVID-19 Vaccine: A Key to Protecting Pediatric Asthma Patients https://t.co/C2rNx2Q96L https://t.co/OgjpJj2z8U,0,0,0
1466131104574943232,sorry but if you’re willingly not vaxxed u don’t deserve to see bts,0,0,0
1466131100711804933,Secretary of Defense Sends out Memo to Force Full Vaccination of All Members of the Armed Forces Under DoD Authority https://t.co/XzsFeF6IFN via @getongab,0,0,0
1466131096836485120,"1st confirmed case of #Omicron variant detected in #California in a fully-vaccinated traveler who returned from South Africa on Nov 22. 
@nbcchicago",0,0,0
1466131096802934790,The variants are coming out and people still don’t want to get vaccinated. Chilllleeee,0,0,0
1466131096689590282,"Khouti douk lhackers li kaychomiw f discord servers. I got a genius idea. Take down the vaccination system so @OMSMaroc lose count 
🥺🥺",0,0,0
1466131089462894595,New story on NPR: A different kind of COVID vaccine is about ready to roll https://t.co/WnGwZhQZfM,0,0,0
1466131086598184964,Let’s have families of vaccine victims in our thoughts and prayers. Let’s raise awareness on vaccine adverse effects. Those young people DIDN’T deserve to die or to be injured for life! #NoVaccineMandate #VaccineSideEffects #VaccineInjuries #VaccinePassports #NoVaccinePassport https://t.co/iV7bRlTRi8,0,0,0
1466131082777022466,"Saw this and immediately booked tickets for my whanāu to watch a special screening of The Polar Express at @OtagoMuseum. Thank you for opting in to a public health measure that will keep children safe. 

https://t.co/YN6wpZZnwC",0,0,0
1466131082194128900,Sinclair Wants to Know Who Got the Jab  https://t.co/bWhi0C1BWK,0,0,0
1466131081045118976,Business News Business Article Business Journal Why mass vaccine donations to Africa aren’t working https://t.co/9RGBFSDsCO,0,0,0
1466131080180903938,Has anyone had breast pain with their #covidvaccinebooster? I had #Moderna.,0,0,0
1466131078939398151,"Yes it’s both a supply and a demand problem. But inequality in supply may by itself amplify inequality in demand. 

As the article puts it:  “uneven vaccine distribution can increase vaccine hesitancy in any country.” https://t.co/XwFS32DwCp",0,0,0
1466131078704513028,Watford v Chelsea game has been suspended for now! ANOTHER person in the crowd is having problems!!! How many more times is these things gonna happen before people say it’s no fucking coincidence!!! That fucking jab that some of you idiots have got 🤦🏼‍♂️💉,0,0,0
1466131077647450122,"“This new variant is cause for continued vigilance, not panic,” says WH covid advisor Jeff Zients.  “We know what it takes to limit the spread of COVID: Get vaccinated, get boosted, and take public health measures like masking and distancing.”",0,0,0
1466131075789381633,Re. Booster jabs. The global scientists clearly say that the way to end (or at least stifle) this pandemic is to vaccinate the global south. So why are we accepting boosters before vaccine patents are waived? 1/ #TyskySour,0,0,0
1466131075583856643,"Can I get off the roller coaster now?  This isn't funny anymore.

Conservative Senate Republicans reportedly plan to force a government shutdown over vaccine rules - Yahoo News https://t.co/M0K0WGYKl5 via @GoogleNews",0,0,0
1466131074614919174,"#Nomore #vaccine #boosters new virus every 3 months but have #vaccine available for people who voluntarily want it.

Always protect yourselves with methods that work best for you.",0,0,0
1466131066486468618,I say let @GOPLeader @gop push their base to not get vaccinated or wear a mask. Time to cull the ignorant out of society.,0,0,0
1466131065693782026,"GOP lawmakers: so we’re gonna make you have that baby but we won’t give you any kind of support, and the kid might be killed by a gun at school but these thoughts & prayers should help, and yeah I’m vaccinated but the pandemic is definitely fake news like global warming & racism.",0,0,0
1466131063659503624,We must make Africa a center of excellence for vaccine manufacturing for the world and not just Africa - @daktari1 #JKLive https://t.co/DWtahC5yh3,0,0,0
1466131061121773570,"Americans need to stand up and fight this abuse of power. Getting the COVID shot does nothing for the person standing next to you!! You can still give someone COVID if you've had the shot, exactly the same if you haven't received the shot.   https://t.co/aJs2AM5iFT",0,0,0
1466131058278244355,UK expects to know Omicron vaccine impact in a week https://t.co/WzqBQKJRh4,0,0,0
1466131057464520708,I am BOOSTED 💉✨,0,0,6
1466131057456070657,"Situation Update, Dec 1, 2021 - Billions of Victims of Vaccine-Induced AIDS Will Soon Emerge to The Horror of Humanity! - Mike Adams Must Video | Health https://t.co/SKeollMuxK",0,0,0
1466131053706420225,"COVID Vaccination and Booster Shot Clinic
Tues., Wed., Fri.
9 AM – 3 PM
34 Benwood Ave., Buffalo
J&J and Pfizer
To schedule, please contact: Trinetta Alston, LPN, 716-986-9199, ext. 5907; talston@chcb.net or Samantha Swinton, MA, sswinton@chcb.net 
• Walk-Ins welcome. https://t.co/TClLZMeAUJ",0,0,0
1466131051168731137,"Listen to #PrinceHarry and Winnie Byanyima discuss AIDS and vaccine equity.

https://t.co/iqnAcM93KE",0,0,0
1466131048601993226,Out of the of interest… people’s opinion on mandatory vaccination?,0,0,0
1466131047540830219,Another medical emergency in the crowd at a football match 💉💉💉💉🤔🤔🤔🤔,0,0,0
1466131046500610063,"ik its normal for viruses to mutate and change throughout time, but how long we’ve just let covid-19 mutate unhinged and mutate so much we need a new vaccine ALREADY",0,0,0
1466131046408331271,And I’m gonna say it since the jab they forcing people to have this is happening way too much all over!!,0,0,0
1466131045296787458,"This news will trigger the anti vax brigade.
They'll all be acting big and tough before rolling up their sleeves 🤣BBC News - Covid Omicron: Time to consider mandatory jabs, EU chief says
https://t.co/MSYr5GXdp3",0,0,0
1466131043161985027,Perspective | Natural immunity to covid is powerful. Policymakers seem afraid to say so. https://t.co/SRdalNFDD4,0,0,0
1466131042658574340,How long before we have to listen to some anti vax nonsense then?,0,0,0
1466131042419548169,"Technical service employees will get a “five-workday period of education, including providing noncompliant employees with information regarding the benefits of vaccination.""

The re-education camps are coming! Hooray!

https://t.co/wqRGKzutNO",0,0,1
1466131037726068738,Another vaccine collapse. #WATCHE,0,0,0
1466131037143113742,This vaccine got people collapsing every where,0,0,0
1466131035758989337,kyrie might be right abt the vaccine..cuz wtf is this,1,0,2
1466131032105570305,"Paxlovid (Pfizer pill) found to work against the variants in vitro.

Main protease mutants of SARS-CoV-2 variants remain susceptible to PF-07321332   https://t.co/PS72FgTVHO

PAXLOVID previously found to reduce the risk of hospitalization or death by 89% https://t.co/FMWU6Xy86G https://t.co/oN0xvI2VBI",0,0,0
1466131024958660633,"Are these widgets new? They look new. 
Does Fox News consult with epidemiologists, & not just radiologist Scott Atlas? This tacit promotion to the public, and that is what this is, took almost twelve months of vaccine availability. #OmicronVariant https://t.co/psVvYj1uAp",0,0,0
1466131017610280961,The Vaccine Project Newsletter: Can we take another gut punch? https://t.co/lQfxodRuUh,0,0,0
1466131017450852360,Business News Business Article Business Journal Vaccinating the realm for covid-19 would worth 0.5% of G20 spending on the disaster https://t.co/SQFsdANpnB,0,0,0
1466131013164310533,Didn't expect that 🤯 @thevaccines @Spotify #spotifywrapped2021 #vaccine https://t.co/5DOcS4v2Qm,0,0,0
1466131012258258954,US Confirms Nation's First Case of Omicron Covid Variant in Fully Vaccinated Individual in California https://t.co/poLxBAKLf6 via @gatewaypundit,0,0,0
1466131012086337536,Vaccinated traveller first case of Omicron in US: https://t.co/PUA2yAaIiz https://t.co/AGzjLt7Gk6,0,0,0
1466131010630864896,Yet another fan falls ill in the crowd with play being stopped…and people really think this vaccine is not the cause! #Covid19UK,0,0,0
1466131010542878728,"Dr. Donahue: In Nebraska, unvaccinated 30-year-olds are being hospitalized with COVID-19 at similar rates to fully vaccinated people older than 80",0,0,0
1466131004737925124,Defense Sec. Orders National Guard Members To Get Vaccinated Or Lose Pay https://t.co/vN4XpsBY55,0,0,0
1466131004091944965,Defense Secretary Lloyd Austin is ordering the National Guard to get vaccinated - or face a loss of pay. https://t.co/9jSDq6pDZu,0,0,0
1466131003928371212,"o also, ya boy just got their vaccine booster today with the boyfwend :)",0,0,0
1466130994684207109,Which means a new vaccine needs to be in the works asap,0,0,0
1466130993383890956,Vaccine conspiracy theory crew will be out on in force in a minute,0,0,1
1466130990238216205,We're all stoked up on #fillers! Have you made your appointment yet? Spots are filling up fast -- emailed us at info@txfaces.com or call us 469-362-6975 to schedule an appointment 💉 https://t.co/6IJGRugt5t,0,0,0
1466130988669489154,"How many footballers have collapsed in training this season? Why are so many fans collapsing in the crowd? 

Hmm 💉",0,0,1
1466130987000160258,I’ve had my vaccine but these random collapses and other shit people are having so frequently Is concerning,0,0,0
1466130980767416320,"Founder Of Anti-Vaccine Christian TV Network Dies After COVID-19 Fight

Televangelist Marcus Lamb, president and founder of Daystar Television Network, died at age 64.

By 
Josephine Harvey
12/01/2021 01:00am EST
https://t.co/WRXmiYANtn",0,0,0
1466130977915289607,"How is it that of us who are NOT sick who are healthy are the problem?  If there are therapeutic that work, why does anyone need a vaccine?  Fauci, why is there not a vaccine for AIDS? Why is there not a Vaccine for Phnominia? Cancer?$$$$$ It's all BS",0,0,0
1466130977508503557,Another heart attack in the stands 💉,0,0,0
1466130972340994050,Dealing with trying to get a booster shoot for Covid,0,0,0
1466130972097789956,Individual was fully vaccinated.,0,0,0
1466130969073696774,"The Vaccine Moment, part one https://t.co/tKzKvbV1oi",0,0,0
1466130968574451718,"the amount of idiots that don't understand that #vaccinated doesn't mean immune. it means you're less likely to die if you catch said illness. 

it's really not that hard to understand 🤡

#covidvariant 
#Omnicron 
#COVID19",0,1,1
1466130955953917952,"Breakthrough Infections are VERY COMMON 3 Months Post Vax when Circulating Antibodies are Fading and Immune Memory Re-activation becomes Key

Stealth Circulation Among the Vaccinated is NOT Driven by the New Variant.  

It is a Problem with ALL Variants known to date.",0,0,0
1466130951973621767,Another medical emergency in a football ground. Vicarage rd.. just another coincidence. #Vaxxed 🤔,0,0,0
1466130941122949120,#News: Final day for unvaccinated cops to take jab or lose job https://t.co/v5taIfiv6D #svgnewsbot https://t.co/KADfqNMomS,0,0,0
1466130938920939531,"A fit and active 26 yo man dies unexpectedly 12 days after covid19 vaccine.  He is one of 30,000 deaths in the EU.  Over 19,000 dead in USA.

This is an abomination: halt these experimental vaccine now. Shame on big Pharma and Gov for letting this happen!

https://t.co/OvlDruNfZp",0,0,0
1466130936194609154,Republicans threaten to shut down government over vaccine mandates - Because it went so well the last time they shut down the govt  https://t.co/uVnc8IkC0i,0,0,0
1466130934579691521,‘I will support those who choose not to be vaccinated’ - BBC News https://t.co/0AFdpbkBzQ,0,0,0
1466130932495273989,"cannot rate to spotify users (but i will take that little jab to listen to kara's and after school's full japanese discog and BULLDOK)
NOW anyways for the one and a half month i've been using this account https://t.co/BgBOIkF7oN",0,0,0
1466130930934951947,"With emergence of the Omicron, Canada must finally waive COVID-19 vaccine patents: Singh https://t.co/zvjLWg9UVV",0,0,0
1466130930905452545,A group of Republicans could briefly shut down the government over vaccine mandates - BuzzFeed News https://t.co/AeiXzbYwHa,0,0,0
1466130927642460161,"Covid booster and flu jab done! #ThankYouNHS 💕💉

Celebrated my vaccination & it being December 1st in style, with a brandy mince pie gelato from @marysmilkbar https://t.co/3M6eOf0V9c",0,0,0
1466130927612948480,"“The patient, a traveler who returned to California from South Africa on Nov. 22, is in isolation and aggressive contact tracing is underway. The individual was fully vaccinated and had mild symptoms that are improving.”The First Omicron Case- The NYT https://t.co/edoWljAdse",0,0,0
1466130925172011014,"German startup @Wingcopter is working to provide #drones for #vaccine delivery in remote areas

That’s why #LastMileAir delivery by #drone is so important

V/@LastMileAir #SupplyChain @PawlowskiMario @JeroenBartelse @MargaretSiegien @patrickmascart @rwang0 https://t.co/GDit7E8FYW",0,0,0
1466130923934691343,"Hi! In case you didn't know, today the US surpassed 70% of adults with a COVID-19 vaccine! I think that's pretty dang cool! https://t.co/fPl3JMwbpu",0,0,0
1466130923376701441,"First case of Omicron in CA and Newsom says get vaccinated.
But weren't the first to have it vaccinated? 😕 
https://t.co/92lbpKy3kS",0,0,0
1466130922412118021,"Moderna drops, Arbutus pops after patent ruling means vaccine maker could owe royalties on billions in COVID shot revenue https://t.co/CWngWDy8lS",0,0,0
1466130916565209098,I believe Dr von der Leyen is correct; Mandatory Vaccination is rapidly looking like the *only* way out of this.,0,0,0
1466130915751456774,The next challenge to vaccinating Africa: Overcoming skepticism https://t.co/LmYFycJl67,0,0,0
1466130915306971138,Vaccinated Athletes are dropping like flies.,0,0,0
1466130913981607944,"Shaquanna from Matheson,CO, dont be dumb. get vaccinated (roll #305 /comment tier: basic)",0,0,0
1466130910231863296,POLITICO Playbook: Scoop: Conservatives plot government shutdown over vaccine mandate - POLITICO - Politico https://t.co/Xh3nUtvrct via @GoogleNews,0,0,0
1466130904301150214,"Marcus Lamb, founder of Christian network Daystar and vaccine opponent, dies after contracting COVID-19 https://t.co/IG3UPg8pHL 
____________ 

Smh... Saddened and completely shocked to hear of Elder Bro. Lamb's recent passing.

May people strongly consider getting vaccinated...",0,0,1
1466130903856472065,Final day for unvaccinated cops to take jab or lose job https://t.co/aektF8Oxam,0,0,0
1466130902157860864,"This is the third time in the past few weeks that the president’s call for mandatory vaccines were halted.

 https://t.co/Fd19w1NVaH",0,0,0
1466130900698251272,Final day for unvaccinated cops to take jab or lose job https://t.co/0Pq8pNlbv8,0,0,0
1466130894096240642,"“His Facebook page includes posts and memes downplaying the severity of the coronavirus, comparing vaccine passports to Nazi Germany and blasting Gov. Gretchen Whitmer’s efforts to mitigate the spread of the virus.”  https://t.co/lXWe1m3eAU",0,0,0
1466130890778677250,"Planning a trip to Canada? Keep up to date on the latest border measures, including vaccination requirements and additional measures in response to address the COVID-19 Omicron variant of concern: https://t.co/yhO02JxY5f",0,0,0
1466130889075830791,If there is anything that should truly scare you it is Jim Cramer going full vaccine authoritarian.  That guy is constantly wrong at big turning points. Ask anyone that follows public stock markets since the late 90’s @DowdEdward,0,0,0
1466130886617825286,"Federal Contractor and Subcontractor Vaccine Mandate Temporarily Enjoined in Kentucky, Ohio, and Tennessee https://t.co/Z9bcu2laR8 | by @littler",0,0,0
1466130882578817041,"Warning! Pun coming…

When it comes to music I am pretty old school. However, since today I am moderna #Vacation #BoosterShot",0,0,1
1466130879349198853,Funny how all these geezers having heart attacks since this vaccine been rolled out.,0,0,0
1466130875427524611,"Can't help but think that the SAGE psychologists, the nudge unit and No.10 have got the strategy very wrong this last week.

Many previously supportive of vax campaign holding off on 3rd jab given the re-working for Omicron.

terrible policy own goal.",0,0,0
1466130873909133314,"You're a 26 year-old plumber, and need the vaccine to comply with health & safety regs in New Zealand, then this happens..... https://t.co/ftWhPMUVc4",1,2,4
1466130871912583168,‘Deadly Christmas’ in Aboriginal towns https://t.co/otkHHaN9Jo https://t.co/wVpGPae0RL,0,0,0
1466130870377529347,"Hey @ChristinaPushaw, heard of anyone getting vax exemptions from @RoyalCaribbean cruise mandates lately? Wondering if things will be back to normal by July, but betting not",0,0,0
1466130868183998470,The earliest I could schedule my covid booster was December 15th… 😓😬🥴,0,0,0
1466130863435960338,Republicans Threaten Government Shutdown Over Vaccine Mandates https://t.co/YfS9rL6AlH,0,0,0
1466130862819491845,They dropped that new Covid variant ! Get your booster shots,0,0,0
1466130858750971904,CNBC host suggests nationwide vaccine mandate: 'Have the military run it' | TheHill - The Hill https://t.co/TxkRE2TF2M via @GoogleNews,0,0,0
1466130858683871240,People have been getting sick at soccer matches lately if it's not players then it's supporters #WatChe since this whole vaccine thing started,1,1,1
1466130856511250432,"How about you read this and report on it.  First tranche of documents released re testing Pfizer.  Pfizer tried to get court ruling to suppress. 1223 killed by the vax in first month!  

https://t.co/3w2MYQNOkh

@Iromg @juliahb1 @GBNEWS @thecoastguy @TVKev https://t.co/u2YnLFfna2",0,0,0
1466130855714332679,"Mandatory vaccination is wrong. You should not force people by law to do something that carries side effect risks, however small those risks might be. People should always decide for themselves what risks they do and don’t take. (DOI: double vaccinated)",0,0,0
1466130851041841161,"Pfizer CEO Albert Bourla talks about the ""gene editing"" potential of mRNA vaccine technology.

“They are trying to use the same technology to be able to change or repair the mistake of your DNA, so that you can cure those people.""

Gene editing, you say? 
Change or repair DNA 🧬? https://t.co/ZzipXBiM5q",0,0,0
1466130843781455892,A person in California who had been vaccinated against COVID-19 became the first in the U.S. to have an identified case of the omicron variant: https://t.co/1rgJWgUtTW https://t.co/bDbEgf4prj,1,1,0
1466130843106263040,"Hey y'all, we're skipping stream tonight on account of vaccine wooziness and lots of work.",0,0,0
1466130840312762369,"Marcus Lamb is the newest member of the antivax broadcaster COVID cemetery...

https://t.co/kE7rLOQZd7",0,0,0
1466130838823870464,Gotta get this fuckin vaccine,0,0,0
1466130835170541579,Another medical emergency in the stands at Watford v Chelsea. The vaccinated dropping like fucking flies these days. #WatChe,0,3,2
1466130832175910914,A federal court in Missouri refused to lift a block on the Biden administration’s vaccine mandate for health-care workers in 10 states while an appeal moves forward// via @alliereed https://t.co/NAiFOumnQZ,0,0,0
1466130827746717704,An HIV vaccine has eluded scientists for decades. The traditional thinking around vaccines is to mimic the body’s natural immune response to a virus. The problem with HIV is the body’s natural immune response isn’t strong enough to fight the virus.,0,1,0
1466130827071393799,"Top health experts have said for days this moment would come.

The facts remain the facts: there is a lot science doesn't understand yet about Omicron. Scientists are working urgently to get answers.

Meanwhile, don't panic. Get vaccinated. Get a booster. Wear a mask. Be careful.",1,0,2
1466130821425905667,"#MOHAP reiterates the importance of taking the #COVID vaccination, including the booster shot. 

#UAE_BARQ_EN https://t.co/5MauhQdaTT",2,0,1
1466130817415933953,Such a shame. I am saddened by this. Covid is real and the Vax is an answer to prayer my friends.  https://t.co/GlS5sUk37m,0,0,0
1466130816120066066,It’s beginning to look a lot like Christmas 🎶🎄🎅  Mrs D’s S2 Textile classes. Cushion covers…..work in progress 😍🧵💉  #beyourbest #Christmas2021 #lifeskills #creativity  @Greenwood_Acad https://t.co/uz9Xs8cPvJ,0,0,0
1466130812659716100,Conservative Senate Republicans reportedly plan to force a government shutdown over vaccine rules - Yahoo News https://t.co/M0K0WGYKl5 via @GoogleNews,0,0,0
1466130810159783937,My covid immunization record in Apple health still has not updated for the booster I received yesterday. The clinic told me it usually take a few hours.,0,0,0
1466130803419758599,Just got my COVID booster 💪,0,0,0
1466130802257711104,During Junior High health class everyone paid attention during the sexuality and reproductive health part but slept through vaccination and dental hygiene part.,0,0,0
1466130801825914881,"Omicron: First US case found in person who was vaccinated but had not had booster, says Fauci https://t.co/rMSdYGv7MD",0,0,0
1466130797560172546,"Let me clear up some things about the #covid #mandates. The #NurembergCode doesn't apply, because they aren't forcing you to be the subject of a medical experiment. The vaccine has been tested and approved thanks to volunteers. #Masks are also pretty far from #experimental.",0,1,1
1466130796985655300,"#Breaking: The omicron coronavirus variant is now in America, the @CDCgov confirmed. @GovLarryHogan urged Marylanders to get vaccinated and tested to protect themselves.

https://t.co/tMolSzFJXW",0,0,0
1466130796947857420,Serum Institute seeks Covishield’s booster dose approval from DCGI | In Hindi. https://t.co/dn5IAXyrnx,0,0,0
1466130796209704961,"Thinking about selling your home? Get your seller guide today and learn about the process of home selling!

Thanks
Jon Janssen
(586) 453-4457
jonjanssen67@gmail.com https://t.co/Iy4P3krtzp https://t.co/72hmfQ0cfB",0,0,0
1466130790924886025,Officially one of the weak bitches 🥲 had to get the first dose of my COVID vaccine today.,0,0,0
1466130789989498887,did anyone have any side effects to the covid booster? I just don’t wanna feel sick the day after like I did with the second shot 😭,0,0,0
1466130786353045513,"#WHO is worried because the 5th kind of covid19 aka #Omicron is damn resistant to vaccines! #WHO is not preoccupied 2find a #cure! It's only worried 4vaccine. So, nobody wishes 2find a #cure2corona, everybody wants 2sell its fucking #vaccine!",0,0,0
1466130783643611140,The CDC has identified the first case of the omicron #COVID19 variant in the U.S.A in an individual in California who was fully vaccinated and had mild improving symptoms.,0,0,0
1466130776475332611,Got boosted 💉,0,0,0
1466130776341323776,another collapse in the crowd at chelsea watford 💉,1,0,1
1466130774126731268,"That's the least worry in CA!
""CA’s large-scale testing & early detection systems have found Omicron COVID variant in CA. We assume
it’s in other states.
There’s no reason to panic–but we should remain vigilant. Get💉. Get💉. Wear a😷indoors"" @GavinNewsom 
https://t.co/yoSqOOuNtL",0,0,0
1466130771685654529,"Mandatory jab or fines & prison in Austria 😱
https://t.co/ACi2xlGWj1",0,0,0
1466130770876117009,General Hospital fires star Steve Burton over COVID-19 vaccination refusal https://t.co/H3yHIOknPX,0,0,0
1466130769915654149,"As of: Wed Dec 1 12:34:35 2021

Appointments found at CVS locations in San Diego!

Schedule here:
https://t.co/2f80GMQQ8o",0,0,0
1466130769890398211,I don’t know if I got this bad cough from my son or this vaccine😤😤,0,0,0
1466130768464420864,Off for my Boster jab #ASAP 👇 https://t.co/Y4NwUAgeX4,0,0,0
1466130765834600449,"“For parents worried that their kids will be excluded from school if they don’t choose to get them vaccinated, the Charter of Rights and Freedoms is likely to offer some protection.”

https://t.co/k4mj3eoZA7",0,0,0
1466130759698235400,Shutdown odds grow as conservatives push GOP leaders over vaccine and testing mandates - The Washington Post https://t.co/469agytSsT via @GoogleNews,0,0,0
1466130755445268494,Another fan heart attack in the stands? 💉weekly occurrence these days?,0,0,0
1466130755424247809,"It was a disturbing experience for her mother and 4 y-o daughter who came to support Nolan as he got his shot. 
#antivaxxers ""told me I was murdering my son, I was committing genocide, stuff like that. And misinformation about the vaccine itself,"" she said https://t.co/M1NzrWRSwv",0,0,0
1466130749405503490,What is the Trusted News Initiative? https://t.co/IZt8FPBweb #LBRY via @OdyseeTeam,0,0,0
1466130749246132231,"Good. Society: wake up and push back. 

https://t.co/zfReUDJMye",0,0,0
1466130747635519496,"In an email, Chancellor Ronnie Green said the emergence of new and potentially more transmissible COVID variants led to the change in UNL's approach for the coming semester. https://t.co/EJPcLxqFOc",0,0,0
1466130746201055243,"In an email, Chancellor Ronnie Green said the emergence of new and potentially more transmissible COVID variants led to the change in UNL's approach for the coming semester. https://t.co/RSiMhonunT",0,0,0
1466130743248273411,The unvacvinated has no symtoms of the Omicron? https://t.co/nXJ4JAK206,1,1,1
1466130740492779522,"Prince Harry compares Covid vaccine inequity to HIV struggle - The Duke of Sussex has warned of “corporate greed and political failure” prolonging the Covid pandemic, comparing a “spectacular failu... - https://t.co/pw2bvRk65J https://t.co/g1GWG7UVjc",0,0,0
1466130738361901066,"I never hear a word about therapeutics~

I do hear however we need more and more VAX.🤔

If it doesn't succeed the first time -add more~
 Is the new mantra ..

The U.K is up to 4 now",2,0,2
1466130737594208258,Vaccine Mandate For Federal Contractors Goes Down! (Temporarily. And In Three States.) https://t.co/yl92oSpqmh | by @ConstangyLaw,0,0,0
1466130734687698944,When Elvis Helped to Conquer Polio https://t.co/nWVfL0rNVK via @politico,0,0,0
1466130732242411522,"“Get Booster Shots as Soon as You Can, Health Experts Say, as Omicron’s Spread Collides with the Relentless Delta Variant” - via @CNN - https://t.co/DqwfNGQikJ
--
#COVID19 #covidvaccine #vaxnews #vaccines #vaccineswork #covid19vaccines #COVID19vaccine #vaccination",0,0,0
1466130731454070784,"A person in California who had been vaccinated against COVID-19 became the first in the U.S. to have an identified case of the omicron variant, the White House announced Wednesday.
 https://t.co/yi98oy07vU",0,0,0
1466130728085770252,Is the media just going to ignore the fact that LeBron James was fully vaccinated and caught COVID?,20,3,46
1466130726135508992,House Freedom Caucus Demands McConnell Block Spending Resolution to Defund Vaccine Mandates https://t.co/qhBhuhBj1q,0,0,0
1466130725913214980,"Flu jab yesterday, covid booster today - now fully #vaccinated",0,0,0
1466130722507264003,.@POTUS @BorisJohnson @JustinTrudeau @RegSprecher @Palazzo_Chigi @EmmanuelMacron @JPN_PMO @pfizer @moderna_tx @BioNTech_Group @AstraZeneca: We can’t vaccinate the 🌍 unless countries and companies come clean on vaccine data. We need transparency now! https://t.co/vdPRW0kQwg,0,0,0
1466130720611450882,Pfizer whistleblower accused of lying fearlessly fires back https://t.co/dvmCmQ4MKT,0,0,0
1466130718841573380,"BREAKING: Person who is first US case of omicron variant has been fully vaccinated, is self-isolating",0,0,0
1466130718065455106,"The conservative House Freedom Caucus is urging Senate Minority Leader Mitch McConnell, R-Ky., to delay passage of a spending bill needed by Friday to prevent a government shutdown unless it prohibits funding for the Biden administration’s vaccine mandates
https://t.co/Trm4RTqexf",0,0,0
1466130717394587651,Please add this to the “research” you guys are doing on the vaccine https://t.co/gVhA4XMe6v,0,0,0
1466130716379467780,House conservatives press government shutdown threat over vaccine mandates - NBC News https://t.co/nV435jy8L1 via @GoogleNews,0,0,0
1466130715473555465,Jub Jub has his own vaccine now 🤣 #macg #podcastandchillwithmacg,0,0,3
1466130714470928388,"One nation’s extreme Covid rule stunned the world recently – but now, more and more countries are following suit as the virus threat soars.

https://t.co/9pEYRxrnxG",0,1,0
